id,name,category,price
8909404231947,zudio Smart Varsity Polo Beech,Mens Wear,6.02
8909404320306,zudio Smart Solid Polo Deep Teal,Mens Wear,6.02
8909001100417,zudio Womens Fashion Jeans Stone,Womens Westernwear,6.02
8907546855991,zudio Dd Polo Maroon,Mens Wear,6.02
8909404133432,zudio Origin Classic Black,Mens Wear,6.02
8907546811140,zudio Yw Essential Tees Off White,Womens Westernwear,6.02
8909404017794,zudio Sports Jacket Cement,Mens Wear,6.02
8909001579718,zudio Mens Ethnic Shirts Sky Blue,Mens Wear,6.02
8909001779408,zudio Mens Ethnic Shirts Arcadian Green,Mens Wear,6.02
8909404314466,zudio Indie Essential Topwear Warm Beige,Womens Ethnicwear,6.02
8909404065481,zudio Smart Solid Shirt Play,Mens Wear,6.02
8909404182782,zudio Uss Knits Chambray Blue,Mens Wear,6.02
8909404130059,zudio Mens Long Kurta White Melange,Mens Wear,6.02
8909001907511,zudio Womens Essential Jeans Tint,Womens Westernwear,6.02
8909001585559,zudio Smart Solid Shirt Off White,Mens Wear,6.02
8909404151290,zudio Ethno Sets Mustard,Womens Ethnicwear,6.02
8909001929544,zudio Explorer Cargo Grass,Mens Wear,6.02
8909001944400,zudio Mens Short Kurta Crushed Violets,Mens Wear,6.02
8909001723128,zudio Womens Dress Pink,Womens Westernwear,6.02
8909404132954,zudio Origin Classic Ice,Mens Wear,6.02
8909001871485,zudio Nerd Sweater Driftwood,Mens Wear,6.02
8909001321706,zudio Indie Pants Black,Womens Ethnicwear,6.02
8909001330180,zudio Indie Pants Black,Womens Ethnicwear,6.02
8909404144896,zudio Mens Short Kurta Black,Mens Wear,6.02
8909404093538,zudio Neo Top White,Womens Ethnicwear,6.02
8909404279673,zudio Ethnomod Sets Marron,Womens Ethnicwear,6.02
8909404145695,zudio Dd Polo Sahara Sun,Mens Wear,6.02
8909001134429,Ethnicity Fashion Dupatta Red,Bo Apparel,6.02
8909001584101,zudio Smart Solid Shirt Black,Mens Wear,6.02
8909404170000,zudio Ethno Sets Peach,Womens Ethnicwear,6.02
8909001582077,zudio Yw Shirts Black,Womens Westernwear,6.02
8909001802205,zudio Mens Short Kurta Powder Blue,Mens Wear,6.02
8909001824580,zudio Mens Ethnic Shirts Deep Navy,Mens Wear,6.02
8909001931233,zudio Mens Short Kurta Pastel Yellow,Mens Wear,6.02
8909001947081,zudio Mens Short Kurta Teal,Mens Wear,6.02
8907546896628,zudio Womens Essential Jeans Grey,Womens Westernwear,6.02
8907546896772,zudio Womens Essential Jeans Mid Stone,Womens Westernwear,6.02
8909404173377,zudio Mens Long Kurta Cloud Cream,Mens Wear,6.02
8909404136044,zudio Ethno Sets Blue,Womens Ethnicwear,6.02
8909001498736,zudio Womens Essential Tees Emerald,Womens Westernwear,6.02
8909001498897,zudio Womens Essential Tees Maroon,Womens Westernwear,6.02
8909001499832,zudio Womens Essential Tees Emerald,Womens Westernwear,6.02
8909404064088,zudio Womens Essential Tees Tomato,Womens Westernwear,6.02
8907546805484,zudio Dd Crew Tees Black,Mens Wear,6.02
8909001164730,zudio Dd Crew Tees Tidal Teal,Mens Wear,6.02
8909404240031,zudio Ethno Essential Topwear Wild Lime,Womens Ethnicwear,6.02
8909404096645,zudio Ethno Pants Off White,Womens Ethnicwear,6.02
8909404098274,zudio Ethno Pants Off White,Womens Ethnicwear,6.02
8909404098373,zudio Ethno Pants Off White,Womens Ethnicwear,6.02
8909001186305,zudio Smart Denim Indigo,Mens Wear,6.02
8909001921067,zudio Yw Sweat Tee Ash Violet,Womens Westernwear,6.02
8909404248136,zudio Oversize Graphic Tees Pastel Lilac,Mens Wear,6.02
8909001868782,zudio Ethno Sets Purple,Womens Ethnicwear,6.02
8909404063265,zudio Ath Legwear Sand,Mens Wear,6.02
8909404058681,zudio Smart Chino Grass,Mens Wear,6.02
8909001293683,zudio Womens Essential Tees Dark Ash,Womens Westernwear,6.02
8909001058961,zudio Womens Athleisure Legwear Dark Grey,Womens Westernwear,6.02
8909001645895,zudio Womens Dress Brown,Womens Westernwear,6.02
8909404210041,zudio Ethno Flared Kurta Pink,Womens Ethnicwear,6.02
8909404128377,zudio Womens Active Tees Dark Coffee,Womens Westernwear,6.02
8909001463406,zudio Womens Essential Jeans Indigo,Womens Westernwear,6.02
8907546903289,zudio Womens Essential Jeans Black,Womens Westernwear,6.02
8909404060387,zudio Yw Fashion Pants Dark Grey,Womens Westernwear,6.02
8909001321874,zudio Indie Pants Black,Womens Ethnicwear,6.02
8909404196154,zudio Womens Fashion Jeans Tint,Womens Westernwear,6.02
8909404320412,zudio Smart Cuban Shirt Navy Peony,Mens Wear,6.02
8909404251853,zudio Ethno Sets Dusty Pink,Womens Ethnicwear,6.02
8909404211703,zudio Ethno Flared Kurta Sky Blue,Womens Ethnicwear,6.02
8909404224239,zudio Ethno Essential Topwear Winter White,Womens Ethnicwear,6.02
8907546992924,zudio Dd Crew Tees Blue Melange,Mens Wear,6.02
8907546993136,zudio Dd Crew Tees Anthra Melange,Mens Wear,6.02
8907546993204,zudio Dd Crew Tees Ecru Melange,Mens Wear,6.02
8909001164488,zudio Dd Crew Tees Tobacco,Mens Wear,6.02
8909001164761,zudio Dd Crew Tees Tidal Teal,Mens Wear,6.02
8909001287217,zudio Dd Crew Tees Maroon,Mens Wear,6.02
8909001724538,zudio Dd Crew Tees Plum Perfect,Mens Wear,6.02
